Keywords,Descriptions,Cluster
Harvard University,"5 hours ago · Harvard University is devoted to excellence in teaching, learning, and research, and to developing leaders in many disciplines who make  Harvard University is a private Ivy League research university in Cambridge, Massachusetts, with about 6,700 undergraduate students and about 13,100 .",0
Web directory,"A web directory or link directory is an online list or catalog of websites. That is, it is a directory on the World Wide Web of (all or part of) the W Jan 29, 2019 · In the early days of SEO, web directories were the thing. Back then, the Google algorithm was a lot easier to game. If your site was li Web Directory - Submit your website to the Internet's fastest growing directory! Category based and cross-referenced.",4
Harvard Library,"Welcome to Library.harvard ... Connect with the library materials you need to get your work done. ... Use Harvard Library's Special Collections and Ar HOLLIS is the Harvard Library's catalog. Search HOLLIS for books, articles ... Use Interlibrary Loan for items from libraries around the world. Reques The Harvard Library is the umbrella organization for the Harvard University libraries and their .... Harvard Library also has a robust collection of d",3
Recreation,"These example sentences are selected automatically from various online news sources to reflect current usage of the word 'recreation.'  Views expresse The Recreation Department provides quality, affordable and accessible recreational opportunities for residents of all ages in well-designed and mainta Jun 17, 2019 · Expect traffic impacts from the Cambridge Half Marathon Sunday, Nov. 3, from 7-10 a.m., in Kendall Square, MIT, CambridgePort, Riversid",4
Stanford,"Stanford University, one of the world's leading teaching and research institutions, is dedicated to finding solutions to big challenges and to prepari Leland Stanford Junior University (Stanford University or Stanford) is a private research university in Stanford, California. Stanford is known for it",0
Nonprofit organization,"A nonprofit organization, also known as a non-business entity, not-for-profit organization, or nonprofit institution, is dedicated to furthering a par May 13, 2019 · A nonprofit organization is a business that has been granted tax-exempt status by the Internal Revenue Service (IRS) because it further America's 1.3 million charitable nonprofits feed, heal, shelter, educate, inspire ... not paying out profits (“no part of the organization's net earni",4
Food truck,"Jul 19, 2019 · You can find information on food trucks by neighborhood. We also have a map that features food trucks from across the City, including t Cambridge Food Truck Program Schedule: May 2019 - April 2020.  The following trucks were awarded shifts through the Cambridge Food Truck Program.  To ",4
Biology,"Biology is the natural science that studies life and living organisms, including their physical structure, chemical processes, molecular interactions, Aug 10, 2017 · Biologists study the structure, function, growth, origin, evolution and distribution of living organisms.  There are generally consider Life is beautiful! From atoms to cells, from genes to proteins, from populations to ecosystems, biology is the study of the fascinating and intricate ",1
Engineer,"Engineers, as practitioners of engineering, are professionals who invent, design, analyze, build, and test machines, systems, structures and materials Aug 22, 2014 · Engineering is the application of science and math to solve problems. Engineers figure out how things work and find practical uses for  Interested in the types of engineering degrees available? View the most in-depth list of engineering degree program comparisons & schools online.
High",1
Cornell University,"Cornell University is a private research university that provides an exceptional education for undergraduates and graduate and professional students.  Cornell University is a private and statutory Ivy League research university in Ithaca, New York. Founded in 1865 by Ezra Cornell and Andrew Dickson W",0
